PeriodoInforme,RUT,RazonSocial,Planta,Punto de Descarga,Norma,Parametro,Tipo Muestra,Limite exigido,Unidad,Frecuencia exigida,RPM,Fecha emisión RPM
2024-04-01,   3611018-k,NAJLE,PLANTA FAENADORA DE CARNES HN SAN CARLOS,PUNTO 1 ESTERO MARGARITA,DS 90,Aluminio,COMPUESTO,5,mg/L,1.0,3267,2009-09-04
2024-04-01,   3611018-k,NAJLE,PLANTA FAENADORA DE CARNES HN SAN CARLOS,PUNTO 1 ESTERO MARGARITA,DS 90,Caudal,COMPUESTO,38,m3/dia,1.0,3267,2009-09-04
2024-04-01,   3611018-k,NAJLE,PLANTA FAENADORA DE CARNES HN SAN CARLOS,PUNTO 1 ESTERO MARGARITA,DS 90,Coliformes Fecales o Termotolerantes,PUNTUAL,1000,NMP/100 ml,1.0,3267,2009-09-04
2024-04-01,   3611018-k,NAJLE,PLANTA FAENADORA DE CARNES HN SAN CARLOS,PUNTO 1 ESTERO MARGARITA,DS 90,DBO5,COMPUESTO,35,mgO2/L,1.0,3267,2009-09-04
2024-04-01,   3611018-k,NAJLE,PLANTA FAENADORA DE CARNES HN SAN CARLOS,PUNTO 1 ESTERO MARGARITA,DS 90,Fósforo,COMPUESTO,10,mg/L,1.0,3267,2009-09-04
2024-04-01,   3611018-k,NAJLE,PLANTA FAENADORA DE CARNES HN SAN CARLOS,PUNTO 1 ESTERO MARGARITA,DS 90,Hierro Disuelto,COMPUESTO,5,mg/L,1.0,3267,2009-09-04
2024-04-01,   3611018-k,NAJLE,PLANTA FAENADORA DE CARNES HN SAN CARLOS,PUNTO 1 ESTERO MARGARITA,DS 90,Nitrógeno Total  Kjeldahl,COMPUESTO,50,mg/L,1.0,3267,2009-09-04
2024-04-01,   3611018-k,NAJLE,PLANTA FAENADORA DE CARNES HN SAN CARLOS,PUNTO 1 ESTERO MARGARITA,DS 90,pH,PUNTUAL,"6 - 8,5",Unidad,8.0,3267,2009-09-04
2024-04-01,   3611018-k,NAJLE,PLANTA FAENADORA DE CARNES HN SAN CARLOS,PUNTO 1 ESTERO MARGARITA,DS 90,Poder Espumógeno ,COMPUESTO,7,mm,1.0,3267,2009-09-04
2024-04-01,   3611018-k,NAJLE,PLANTA FAENADORA DE CARNES HN SAN CARLOS,PUNTO 1 ESTERO MARGARITA,DS 90,Sólidos Suspendidos Totales,COMPUESTO,80,mg/L,1.0,3267,2009-09-04
2024-04-01,   3611018-k,NAJLE,PLANTA FAENADORA DE CARNES HN SAN CARLOS,PUNTO 1 ESTERO MARGARITA,DS 90,Sulfuro,COMPUESTO,1,mg/L,1.0,3267,2009-09-04
2024-04-01,   3611018-k,NAJLE,PLANTA FAENADORA DE CARNES HN SAN CARLOS,PUNTO 1 ESTERO MARGARITA,DS 90,Temperatura,PUNTUAL,35,°C,8.0,3267,2009-09-04
2024-04-01,   3611018-k,NAJLE,PLANTA FAENADORA DE CARNES HN SAN CARLOS,PUNTO 1 ESTERO MARGARITA,DS 90,Tolueno,COMPUESTO,"0,7",mg/L,1.0,3267,2009-09-04
2024-04-01,   4724931-7,HARWARDT,PLANTA LACTEOS PUERTO OCTAY,PUNTO 1 INFILTRACION ,,,COMPUESTO,,,,,
2024-04-01,   4929132-9,LOZANO,AL MUNDO,PUNTO 1 ,DS 90,Aceites y Grasas,COMPUESTO,20,mg/L,1.0,4016,2006-11-13
2024-04-01,   4929132-9,LOZANO,AL MUNDO,PUNTO 1 ,DS 90,Caudal,COMPUESTO,26,m3/dia,4.0,4016,2006-11-13
2024-04-01,   4929132-9,LOZANO,AL MUNDO,PUNTO 1 ,DS 90,DBO5,COMPUESTO,35,mgO2/L,1.0,4016,2006-11-13
2024-04-01,   4929132-9,LOZANO,AL MUNDO,PUNTO 1 ,DS 90,Fósforo,COMPUESTO,10,mg/L,1.0,4016,2006-11-13
2024-04-01,   4929132-9,LOZANO,AL MUNDO,PUNTO 1 ,DS 90,Nitrógeno Total  Kjeldahl,COMPUESTO,50,mg/L,1.0,4016,2006-11-13
2024-04-01,   4929132-9,LOZANO,AL MUNDO,PUNTO 1 ,DS 90,pH,PUNTUAL,"6 - 8,5",Unidad,4.0,4016,2006-11-13
2024-04-01,   4929132-9,LOZANO,AL MUNDO,PUNTO 1 ,DS 90,Poder Espumógeno ,COMPUESTO,7,mm,1.0,4016,2006-11-13
2024-04-01,   4929132-9,LOZANO,AL MUNDO,PUNTO 1 ,DS 90,Sólidos Suspendidos Totales,COMPUESTO,80,mg/L,1.0,4016,2006-11-13
2024-04-01,   4929132-9,LOZANO,AL MUNDO,PUNTO 1 ,DS 90,Temperatura,PUNTUAL,35,°C,4.0,4016,2006-11-13
2024-04-01,   4929132-9,LOZANO,AL MUNDO,PUNTO 1 ,DS 90,Triclorometano,COMPUESTO,"0,2",mg/L,1.0,4016,2006-11-13
2024-04-01,   4929132-9,LOZANO,DON CHERRY,PUNTO 1 ,DS 90,Aceites y Grasas,COMPUESTO,20,mg/L,1.0,4017,2006-11-13
2024-04-01,   4929132-9,LOZANO,DON CHERRY,PUNTO 1 ,DS 90,Caudal,COMPUESTO,87,m3/dia,4.0,4017,2006-11-13
2024-04-01,   4929132-9,LOZANO,DON CHERRY,PUNTO 1 ,DS 90,Cloruros,COMPUESTO,400,mg/L,1.0,4017,2006-11-13
2024-04-01,   4929132-9,LOZANO,DON CHERRY,PUNTO 1 ,DS 90,DBO5,COMPUESTO,35,mgO2/L,1.0,4017,2006-11-13
2024-04-01,   4929132-9,LOZANO,DON CHERRY,PUNTO 1 ,DS 90,Fósforo,COMPUESTO,10,mg/L,1.0,4017,2006-11-13
2024-04-01,   4929132-9,LOZANO,DON CHERRY,PUNTO 1 ,DS 90,Nitrógeno Total  Kjeldahl,COMPUESTO,50,mg/L,1.0,4017,2006-11-13
2024-04-01,   4929132-9,LOZANO,DON CHERRY,PUNTO 1 ,DS 90,pH,PUNTUAL,"6 - 8,5",Unidad,4.0,4017,2006-11-13
2024-04-01,   4929132-9,LOZANO,DON CHERRY,PUNTO 1 ,DS 90,Poder Espumógeno ,COMPUESTO,7,mm,1.0,4017,2006-11-13
2024-04-01,   4929132-9,LOZANO,DON CHERRY,PUNTO 1 ,DS 90,Sólidos Suspendidos Totales,COMPUESTO,80,mg/L,1.0,4017,2006-11-13
2024-04-01,   4929132-9,LOZANO,DON CHERRY,PUNTO 1 ,DS 90,Temperatura,PUNTUAL,35,°C,4.0,4017,2006-11-13
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Aceites y Grasas,COMPUESTO,"23,6",mg/L,2.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Aluminio,COMPUESTO,"5,9",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Arsénico,COMPUESTO,"0,59",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Boro,COMPUESTO,"0,885",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Cadmio,COMPUESTO,"0,012",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Caudal,COMPUESTO,38880,m3/dia,30.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Cianuro,COMPUESTO,"0,236",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Cloruros,COMPUESTO,472,mg/L,2.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Cobre ,COMPUESTO,"1,18",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Coliformes Fecales o Termotolerantes,COMPUESTO,1000,NMP/100 ml,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Cromo Hexavalente ,COMPUESTO,"0,059",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,DBO5,COMPUESTO,"41,3",mgO2/L,2.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Fluoruro,COMPUESTO,"1,77",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Fósforo,COMPUESTO,"11,8",mg/L,2.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Hidrocarburos Fijos ,COMPUESTO,"11,8",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Hierro Disuelto,COMPUESTO,"5,9",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Indice Fenol ,COMPUESTO,"0,59",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Manganeso,COMPUESTO,"0,354",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Mercurio,COMPUESTO,"0,001",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Molibdeno,COMPUESTO,"1,18",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Níquel,COMPUESTO,"0,236",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Nitrógeno Total  Kjeldahl,COMPUESTO,59,mg/L,2.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Pentaclorofenol,COMPUESTO,"0,01",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,pH,PUNTUAL,"6 - 8,5",Unidad,16.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Plomo,COMPUESTO,"0,059",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Poder Espumógeno ,PUNTUAL,7,mm,2.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Selenio,COMPUESTO,"0,012",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Sólidos Suspendidos Totales,COMPUESTO,"94,4",mg/L,2.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Sulfato,COMPUESTO,1180,mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Sulfuro,COMPUESTO,"1,18",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Temperatura,PUNTUAL,40,°C,16.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Tetracloroeteno,COMPUESTO,"0,047",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Tolueno,COMPUESTO,"0,826",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Triclorometano,COMPUESTO,"0,236",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Xileno,COMPUESTO,"0,59",mg/L,1.0,1102,2011-04-04
2024-04-01,   6110436-4,ABARZUA,PISCICULTURA LAS ARAUCARIAS,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Zinc,COMPUESTO,"3,54",mg/L,1.0,1102,2011-04-04
2024-04-01,   6523435-1,,PESQUERA CAMILA,P.CAMILA,,,COMPUESTO,,,,,
2024-04-01,   6616741-0,AGUILAR,LA TILTILANA,PUNTO 1 INFILTRACION,,,COMPUESTO,,,,,
2024-04-01,   6992711-4,,RACHID OSMAN CHELECH,OSMAN.CHELECH,DS 90,Aceites y Grasas,PUNTUAL,20,mg/L,1.0,122,2008-01-16
2024-04-01,   6992711-4,,RACHID OSMAN CHELECH,OSMAN.CHELECH,DS 90,Aluminio,PUNTUAL,1,mg/L,1.0,122,2008-01-16
2024-04-01,   6992711-4,,RACHID OSMAN CHELECH,OSMAN.CHELECH,DS 90,DBO5,PUNTUAL,60,mgO2/L,1.0,122,2008-01-16
2024-04-01,   6992711-4,,RACHID OSMAN CHELECH,OSMAN.CHELECH,DS 90,Fluoruro,PUNTUAL,"1,5",mg/L,1.0,122,2008-01-16
2024-04-01,   6992711-4,,RACHID OSMAN CHELECH,OSMAN.CHELECH,DS 90,Fósforo,PUNTUAL,5,mg/L,1.0,122,2008-01-16
2024-04-01,   6992711-4,,RACHID OSMAN CHELECH,OSMAN.CHELECH,DS 90,pH,PUNTUAL,6 - 9,Unidad,1.0,122,2008-01-16
2024-04-01,   6992711-4,,RACHID OSMAN CHELECH,OSMAN.CHELECH,DS 90,Sólidos Suspendidos Totales,PUNTUAL,100,mg/L,1.0,122,2008-01-16
2024-04-01,   8184779-7,OVALLE,CENTRO DE CULTIVO DE SALMONIDEOS TRAIGUEN,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Aceites y Grasas,COMPUESTO,20,mg/L,1.0,1375,2008-04-09
2024-04-01,   8184779-7,OVALLE,CENTRO DE CULTIVO DE SALMONIDEOS TRAIGUEN,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Caudal,COMPUESTO,1e+007,m3/h,30.0,1375,2008-04-09
2024-04-01,   8184779-7,OVALLE,CENTRO DE CULTIVO DE SALMONIDEOS TRAIGUEN,PUNTO 1 ESTERO SIN NOMBRE,DS 90,DBO5,COMPUESTO,35,mgO2/L,1.0,1375,2008-04-09
2024-04-01,   8184779-7,OVALLE,CENTRO DE CULTIVO DE SALMONIDEOS TRAIGUEN,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Fósforo,COMPUESTO,2,mg/L,1.0,1375,2008-04-09
2024-04-01,   8184779-7,OVALLE,CENTRO DE CULTIVO DE SALMONIDEOS TRAIGUEN,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Nitrógeno Total ,COMPUESTO,10,mg/L,1.0,1375,2008-04-09
2024-04-01,   8184779-7,OVALLE,CENTRO DE CULTIVO DE SALMONIDEOS TRAIGUEN,PUNTO 1 ESTERO SIN NOMBRE,DS 90,pH,PUNTUAL,"6 - 8,5",Unidad,4.0,1375,2008-04-09
2024-04-01,   8184779-7,OVALLE,CENTRO DE CULTIVO DE SALMONIDEOS TRAIGUEN,PUNTO 1 ESTERO SIN NOMBRE,DS 90,SAAM,COMPUESTO,10,mg/L,1.0,1375,2008-04-09
2024-04-01,   8184779-7,OVALLE,CENTRO DE CULTIVO DE SALMONIDEOS TRAIGUEN,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Sólidos Sedimentables,COMPUESTO,5,ml/L/h,1.0,1375,2008-04-09
2024-04-01,   8184779-7,OVALLE,CENTRO DE CULTIVO DE SALMONIDEOS TRAIGUEN,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Sólidos Suspendidos Totales,COMPUESTO,80,mg/L,1.0,1375,2008-04-09
2024-04-01,   8184779-7,OVALLE,CENTRO DE CULTIVO DE SALMONIDEOS TRAIGUEN,PUNTO 1 ESTERO SIN NOMBRE,DS 90,Temperatura,PUNTUAL,30,°C,4.0,1375,2008-04-09
2024-04-01,   8608937-8,CARDENAS,AC REDES PLANTA CHANGUITAD,"PUNTO 1 ARROYO SIN NOMBRE, CURACO DE VELEZ",DS 90,Aceites y Grasas,COMPUESTO,20,mg/L,1.0,753,2005-03-23
2024-04-01,   8608937-8,CARDENAS,AC REDES PLANTA CHANGUITAD,"PUNTO 1 ARROYO SIN NOMBRE, CURACO DE VELEZ",DS 90,Cadmio,COMPUESTO,"0,01",mg/L,1.0,753,2005-03-23
2024-04-01,   8608937-8,CARDENAS,AC REDES PLANTA CHANGUITAD,"PUNTO 1 ARROYO SIN NOMBRE, CURACO DE VELEZ",DS 90,Caudal,COMPUESTO,30,m3/dia,12.0,753,2005-03-23
2024-04-01,   8608937-8,CARDENAS,AC REDES PLANTA CHANGUITAD,"PUNTO 1 ARROYO SIN NOMBRE, CURACO DE VELEZ",DS 90,Cobre ,COMPUESTO,1,mg/L,1.0,753,2005-03-23
2024-04-01,   8608937-8,CARDENAS,AC REDES PLANTA CHANGUITAD,"PUNTO 1 ARROYO SIN NOMBRE, CURACO DE VELEZ",DS 90,DBO5,COMPUESTO,35,mgO2/L,1.0,753,2005-03-23
2024-04-01,   8608937-8,CARDENAS,AC REDES PLANTA CHANGUITAD,"PUNTO 1 ARROYO SIN NOMBRE, CURACO DE VELEZ",DS 90,pH,PUNTUAL,"6 - 8,5",Unidad,12.0,753,2005-03-23
2024-04-01,   8608937-8,CARDENAS,AC REDES PLANTA CHANGUITAD,"PUNTO 1 ARROYO SIN NOMBRE, CURACO DE VELEZ",DS 90,Plomo,COMPUESTO,"0,05",mg/L,1.0,753,2005-03-23
2024-04-01,   8608937-8,CARDENAS,AC REDES PLANTA CHANGUITAD,"PUNTO 1 ARROYO SIN NOMBRE, CURACO DE VELEZ",DS 90,Sólidos Suspendidos Totales,COMPUESTO,80,mg/L,1.0,753,2005-03-23
2024-04-01,   8608937-8,CARDENAS,AC REDES PLANTA CHANGUITAD,"PUNTO 1 ARROYO SIN NOMBRE, CURACO DE VELEZ",DS 90,Temperatura,PUNTUAL,35,°C,12.0,753,2005-03-23
2024-04-01,   8608937-8,CARDENAS,AC REDES PLANTA CHANGUITAD,"PUNTO 1 ARROYO SIN NOMBRE, CURACO DE VELEZ",DS 90,Zinc,COMPUESTO,3,mg/L,1.0,753,2005-03-23
2024-04-01,  11225805-1,BIELITZ,GRANJA SAJONIA,PUNTO 1 CANAL AFLUENTE RÍO MAIPO,,,COMPUESTO,,,,,
2024-04-01,  11307957-6,ACUNA,EDMUNDO JOSE ACUÑA FUENTES,PUNTO 1 INFILTRACION,DS 46,Aceites y Grasas,COMPUESTO,10,mg/L,1.0,1490,2018-11-23
2024-04-01,  11307957-6,ACUNA,EDMUNDO JOSE ACUÑA FUENTES,PUNTO 1 INFILTRACION,DS 46,Caudal,COMPUESTO,9,m3/dia,30.0,1490,2018-11-23
2024-04-01,  11307957-6,ACUNA,EDMUNDO JOSE ACUÑA FUENTES,PUNTO 1 INFILTRACION,DS 46,Cloruros,COMPUESTO,250,mg/L,1.0,1490,2018-11-23
2024-04-01,  11307957-6,ACUNA,EDMUNDO JOSE ACUÑA FUENTES,PUNTO 1 INFILTRACION,DS 46,Nitrógeno Total  Kjeldahl,COMPUESTO,15,mg/L,1.0,1490,2018-11-23
2024-04-01,  11307957-6,ACUNA,EDMUNDO JOSE ACUÑA FUENTES,PUNTO 1 INFILTRACION,DS 46,N-Nitrato + N-Nitrito ,COMPUESTO,15,mg/L,1.0,1490,2018-11-23
2024-04-01,  11307957-6,ACUNA,EDMUNDO JOSE ACUÑA FUENTES,PUNTO 1 INFILTRACION,DS 46,pH,PUNTUAL,"6 - 8,5",Unidad,3.0,1490,2018-11-23
2024-04-01,  11307957-6,ACUNA,EDMUNDO JOSE ACUÑA FUENTES,PUNTO 1 INFILTRACION,DS 46,Sulfato,COMPUESTO,500,mg/L,1.0,1490,2018-11-23
