id,PeriodoInforme,RUT,RazonSocial,Planta,PuntoDeDescarga,CuerpoReceptor,Norma,Muestra,Parametro,Unidad,ValorReportado,TipoDeControl,Laboratorio,UnidadFiscalizable,departamento,ComunaId,comuna,NombreCategoria,NombreSubCategoria,Direccion,NumeroRCA,FechaRCA
11,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Fluoruro,mg/L,1.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
12,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Hidrocarburos Totales,mg/L,50.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
13,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Hierro Disuelto,mg/L,21.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
14,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Indice Fenol ,mg/L,1.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
15,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Manganeso,mg/L,2.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
16,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Mercurio,mg/L,2.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
17,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Molibdeno,mg/L,1.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
18,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Níquel,mg/L,2.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
19,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,5876949,pH,Unidad,71.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
20,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Plomo,mg/L,1.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
21,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,SAAM,mg/L,184.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
22,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Selenio,mg/L,7.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
23,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Sólidos Sedimentables,ml/L/h,10.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
24,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Sólidos Suspendidos Totales,mg/L,50.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
25,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,5876955,Temperatura,°C,253.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
26,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Zinc,mg/L,1.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
27,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Nitrógeno Total Kjeldahl,mg/L,47.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
28,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,163344,Sulfuro,mg/L,1.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
29,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,163344,Aceites y Grasas,mg/L,113.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
30,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,163344,Fluoruro,mg/L,138.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
31,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,163344,Níquel,mg/L,1.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
32,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,163344,Cobre ,mg/L,102.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
33,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,163344,Plomo,mg/L,2.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
34,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,163344,Cromo Total,mg/L,5.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
35,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,163344,Zinc,mg/L,207.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
36,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,163344,Sólidos Suspendidos Totales,mg/L,130.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
37,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,163344,Sólidos Sedimentables,ml/L/h,1.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
38,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906581,Temperatura,°C,1619.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
39,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906582,Temperatura,°C,1696.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
40,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906583,Temperatura,°C,1736.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
41,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906584,Temperatura,°C,173.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
42,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906585,Temperatura,°C,1731.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
43,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906586,Temperatura,°C,1754.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
44,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906587,Temperatura,°C,1781.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
45,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906588,Temperatura,°C,1779.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
46,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906589,Temperatura,°C,1794.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
47,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906590,Temperatura,°C,1794.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
48,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906591,Temperatura,°C,1716.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
49,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906592,Temperatura,°C,1681.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
50,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906593,Temperatura,°C,1687.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
51,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906594,Temperatura,°C,1657.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
52,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906595,Temperatura,°C,1622.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
53,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906596,Temperatura,°C,1616.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
54,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906597,Temperatura,°C,1596.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
55,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906598,Temperatura,°C,1579.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
56,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906599,Temperatura,°C,1554.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
57,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906600,Temperatura,°C,1569.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
58,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906601,Temperatura,°C,1557.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
59,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906602,Temperatura,°C,1546.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
60,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906603,Temperatura,°C,1557.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
61,01-01-2024, 76008306-2,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,UNIDAD 4,BAHÍA QUINTERO,DS 90,5906604,Temperatura,°C,1639.0,Autocontrol,Laboratorio HIDROLAB S. A. / Laboratorio de Aguas,COMPLEJO TERMOELECTRICO VENTANAS,Región de Valparaíso,1080,Puchuncaví,Energía,Central termoeléctrica,"F-30-E S/N, Puchuncaví",275,2015-03-19
